"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-01-31,398872,"Pine","PA","Youngstown-Warren-Boardman","Mercer County",7149,179300,0.0164399092970522,0.0448717948717949,-0.0148351648351648,0.0331802060432149,0.0326750722863662,"2018-01","2018-Q1",182000,-0.0148351648351648,"2017-12"
2019-01-31,11185,"Dwight","IL","Pontiac","Livingston County",7150,113600,-0.000879507475813544,0.00709219858156028,-0.00612423447069116,0.0237911982734254,-0.00496719196450668,"2009-07","2009-Q3",122600,-0.0734094616639478,"2006-08"
2019-01-31,3893,"Burbank","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",7151,1018800,0.00463465141504783,-0.000784621420164771,0.135279696902162,0.130435294062314,0.0795209113787154,"2018-10","2018-Q4",1019600,-0.00078462142016477,"2018-10"
2019-01-31,32719,"Martic","PA","Lancaster","Lancaster County",7152,221900,0.00634920634920635,0.00955414012738853,0.0335351653469958,0.0287271549112129,0.0110533958921395,"2019-01","2019-Q1",221900,0,"2019-01"
2019-01-31,15921,"Wilder","ID","Boise City","Canyon County",7153,250200,0.00846432889963724,0.0283600493218249,0.1440329218107,0.108335240841788,0.034925039935835,"2019-01","2019-Q1",250200,0,"2019-01"
2019-01-31,53900,"Pinetop","AZ","Show Low","Navajo County",7154,282300,0.00677603423680456,0.0206073752711497,0.0954598370197905,0.0377113672137224,-0.00452573135731738,"2006-11","2006-Q4",383200,-0.263308977035491,"2005-09"
2019-01-31,29776,"La Salle","CO","Greeley","Weld County",7155,266600,0.00641751604379011,0.0277563608326908,0.129182549767048,0.129843565532019,0.080691058623237,"2019-01","2019-Q1",266600,0,"2019-01"
2019-01-31,23592,"Bangor","PA","Allentown-Bethlehem-Easton","Northampton County",7156,130100,-0.00459066564651875,-0.00687022900763359,0.0203921568627451,0.0248030153326451,-0.00780206252864513,"2006-12","2006-Q4",162000,-0.196913580246914,"2004-06"
2019-01-31,50126,"West Alexandria","OH",,"Preble County",7157,122400,0.0107349298100743,0.0285714285714286,0.138604651162791,0.0522114927992305,0.0114766882797994,"2010-10","2010-Q4",150900,-0.188866799204771,"2009-12"
2019-01-31,50065,"Sisters","OR","Bend-Redmond","Deschutes County",7158,446600,0.00314465408805032,0.0276115968706857,0.104625278258719,0.0844960556720764,0.0307194654005709,"2019-01","2019-Q1",446600,0,"2019-01"
2019-01-31,11121,"Dimmitt","TX",,"Castro County",7159,76000,0.00795755968169761,0.0256410256410256,0.0599721059972106,0.0610919723094914,0.0357286292417431,"2019-01","2019-Q1",76000,0,"2019-01"
2019-01-31,27391,"Terrell Hills","TX","San Antonio-New Braunfels","Bexar County",7160,621300,0.00844018828112319,0.0235584843492586,0.0305191574058716,0.055256725326333,0.0309191971705347,"2019-01","2019-Q1",621300,0,"2019-01"
2019-01-31,38863,"Hampden","MA","Springfield","Hampden County",7161,274700,0.00365363536719035,0.0155268022181146,0.0238538948937756,0.0290970670959789,0.00926472153927249,"2005-11","2005-Q4",280500,-0.0206773618538324,"2005-07"
2019-01-31,34358,"Turner","OR","Salem","Marion County",7162,264100,0.00532927293490674,0.0252329192546584,0.114345991561181,0.103091850934895,0.0385633279536632,"2019-01","2019-Q1",264100,0,"2019-01"
2019-01-31,40124,"Ocean Isle Beach","NC","Myrtle Beach-Conway-North Myrtle Beach","Brunswick County",7163,366800,0.00245968843946433,0.0132596685082873,0.109833585476551,0.0317701558319805,-0.0142010146886606,"2008-05","2008-Q2",471500,-0.222057264050901,"2005-05"
2019-01-31,34685,"Waunakee","WI","Madison","Dane County",7164,361000,0.00641204349038193,0.0160427807486631,0.0718527315914489,0.0560831044642696,0.0347656017940816,"2019-01","2019-Q1",361000,0,"2019-01"
2019-01-31,397176,"Broadalbin","NY","Gloversville","Fulton County",7165,169500,0.00593471810089021,0.0229330114665057,0.116600790513834,0.0514411778530111,0.024932778142156,"2019-01","2019-Q1",169500,0,"2019-01"
2019-01-31,57107,"Ardmore","AL","Huntsville","Limestone County",7166,126300,-0.00394321766561514,-0.00158102766798419,0.1246660730187,0.0559555951334887,,"2018-11","2018-Q4",126900,-0.00472813238770686,"2018-10"
2019-01-31,397316,"Washington","PA","Allentown-Bethlehem-Easton","Northampton County",7167,222000,0,0.00863243980009087,0.0781932977173385,0.0416813288542681,0.000315863355855317,"2006-10","2006-Q4",248300,-0.105920257752718,"2005-11"
2019-01-31,28528,"Geneva","FL","Orlando-Kissimmee-Sanford","Seminole County",7168,322600,0.00124146492861577,-0.0104294478527607,0.0231525531240089,0.078000398511654,0.0293776221406536,"2006-02","2006-Q1",355500,-0.0925457102672293,"2005-08"
2019-01-31,34082,"Sparta","MO","Springfield","Christian County",7169,143400,0.00209643605870021,0.0250178699070765,0.0996932515337423,0.0569730678981037,0.0269638253109783,"2019-01","2019-Q1",143400,0,"2019-01"
2019-01-31,9624,"Sandstone","MN",,"Pine County",7170,156000,0.0103626943005181,0.041388518024032,0.130434782608696,0.0658652633947656,0.0240518552090112,"2019-01","2019-Q1",156000,0,"2019-01"
2019-01-31,25205,"Hubbard","OR","Salem","Marion County",7171,330300,-0.00120955548835803,0.0172466892516169,0.095159151193634,0.115887798953905,0.0361365691671922,"2018-12","2018-Q4",330700,-0.00120955548835803,"2018-12"
2019-01-31,11659,"Grabill","IN","Fort Wayne","Allen County",7172,210200,0.0014292520247737,0.0184108527131783,0.175615212527964,0.0681104992887225,0.0376161189989892,"2019-01","2019-Q1",210200,0,"2019-01"
2019-01-31,6937,"Santa Clara","UT","St. George","Washington County",7173,339500,0.00384387936132466,0.0290997271900576,0.112020962987226,0.0758947131380052,0.0229802541440407,"2019-01","2019-Q1",339500,0,"2019-01"
2019-01-31,42364,"Hurdle Mills","NC","Durham-Chapel Hill","Person County",7174,194700,0.00933125972006221,0.0339883165161976,0.104994324631101,0.0535494834189607,0.0228676643319121,"2019-01","2019-Q1",194700,0,"2019-01"
2019-01-31,105065,"Lake Purdy","AL","Birmingham-Hoover","Shelby County",7175,381700,-0.00469361147327249,-0.0200256739409499,0.00341745531019979,0.0257107098246179,0.0119639908961819,"2018-08","2018-Q3",393500,-0.029987293519695,"2018-02"
2019-01-31,398776,"Warren","MA","Worcester","Worcester County",7176,215900,0.00935016362786349,0.0335088559119196,0.075734927752865,0.0629589488760358,0.0198924825179072,"2005-09","2005-Q3",216900,-0.00461041954817888,"2005-09"
2019-01-31,51365,"Chatham","IL","Springfield","Sangamon County",7177,183400,0.00383141762452107,0.00383141762452107,0.0361581920903955,0.0123298582770404,0.0150833870578944,"2017-03","2017-Q1",189400,-0.0316789862724393,"2016-09"
2019-01-31,126219,"South Highpoint","FL","Tampa-St. Petersburg-Clearwater","Pinellas County",7178,167900,0.00962116656644618,0.0206686930091185,0.163548163548164,0.173642614151257,0.0410392262447516,"2019-01","2019-Q1",167900,0,"2019-01"
2019-01-31,5484,"Lake Barrington","IL","Chicago-Naperville-Elgin","Lake County",7179,363400,0.000275254610514726,0.00497787610619469,0.0225098480585256,0.0284769420261446,-0.000985283498395662,"2006-04","2006-Q2",435200,-0.164981617647059,"2002-10"
